video,prompt,visual_quality_mean,visual_quality_std,temporal_consistency_mean,temporal_consistency_std,dynamic_degree_mean,dynamic_degree_std,text_to_video_alignment_mean,text_to_video_alignment_std,factual_consistency_mean,factual_consistency_std
0001_alpha_219242721_alpha_0.2.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.818,0.007,2.88,0.007,2.531,0.034,2.859,0.013,2.724,0.019
0001_alpha_219242721_alpha_0.3.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.812,0.0,2.891,0.0,2.505,0.029,2.854,0.007,2.745,0.007
0001_alpha_219242721_alpha_0.4.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.823,0.007,2.901,0.007,2.495,0.019,2.854,0.015,2.75,0.013
0001_alpha_219242721_alpha_0.5.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.823,0.007,2.896,0.007,2.521,0.027,2.859,0.0,2.74,0.019
0001_alpha_219242721_alpha_0.6.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.807,0.007,2.88,0.019,2.526,0.045,2.849,0.007,2.724,0.019
0001_alpha_219242721_alpha_0.7.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.812,0.0,2.891,0.013,2.516,0.013,2.865,0.007,2.729,0.015
0001_alpha_219242721_alpha_0.8.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.807,0.007,2.875,0.013,2.521,0.037,2.854,0.007,2.724,0.007
0001_alpha_219242721_alpha_0.9.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.802,0.007,2.891,0.013,2.51,0.019,2.849,0.007,2.729,0.015
0001_hunyuan_1724_alpha_0.1.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.854,0.015,3.031,0.0,3.052,0.007,3.281,0.0,2.771,0.007
0001_hunyuan_1724_alpha_0.2.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.854,0.007,3.021,0.007,3.057,0.007,3.276,0.007,2.76,0.007
0001_hunyuan_1724_alpha_0.3.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.849,0.007,3.005,0.007,3.062,0.0,3.276,0.007,2.76,0.007
0001_hunyuan_1724_alpha_0.4.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.854,0.007,3.01,0.007,3.057,0.007,3.271,0.007,2.766,0.0
0001_hunyuan_1724_alpha_0.5.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.849,0.007,3.005,0.007,3.083,0.007,3.297,0.0,2.76,0.007
0001_alpha_219242721_sora_watermark.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.818,0.007,2.859,0.0,2.469,0.022,2.776,0.007,2.724,0.007
0001_alpha_219242721_alpha_1.0.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.807,0.007,2.885,0.007,2.505,0.015,2.849,0.007,2.729,0.015
0001_hunyuan_1724_alpha_0.6.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.844,0.013,2.984,0.0,3.094,0.0,3.302,0.007,2.745,0.007
0001_hunyuan_1724_alpha_0.7.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.839,0.007,2.974,0.007,3.083,0.007,3.286,0.007,2.74,0.007
0001_hunyuan_1724_alpha_0.9.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.807,0.007,2.911,0.007,3.104,0.007,3.276,0.007,2.708,0.007
0001_hunyuan_1724_alpha_0.8.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.823,0.007,2.948,0.007,3.078,0.0,3.266,0.0,2.745,0.007
0001_hunyuan_1724_alpha_1.0.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.776,0.007,2.865,0.007,3.094,0.0,3.229,0.007,2.677,0.007
0001_hunyuan_1724_sora_watermark.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.74,0.007,2.703,0.0,3.13,0.007,3.146,0.007,2.562,0.013
0001_pika_2470897855_alpha_0.2.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.536,0.007,2.635,0.007,2.875,0.0,2.917,0.007,2.385,0.007
0001_pika_2470897855_alpha_0.1.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.526,0.007,2.646,0.015,2.87,0.007,2.917,0.015,2.396,0.007
0001_pika_2470897855_alpha_0.3.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.531,0.013,2.641,0.013,2.885,0.007,2.917,0.007,2.385,0.019
0001_pika_2470897855_alpha_0.4.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.531,0.0,2.646,0.007,2.875,0.013,2.901,0.007,2.391,0.0
0001_pika_2470897855_alpha_0.5.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.526,0.007,2.63,0.007,2.88,0.007,2.896,0.007,2.38,0.007
0001_pika_2470897855_alpha_0.8.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.526,0.007,2.661,0.007,2.865,0.007,2.906,0.0,2.427,0.007
0001_pika_2470897855_alpha_0.7.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.516,0.013,2.635,0.015,2.875,0.013,2.891,0.0,2.396,0.007
0001_pika_2470897855_alpha_0.6.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.531,0.0,2.646,0.007,2.875,0.013,2.901,0.007,2.401,0.007
0001_pika_2470897855_alpha_0.9.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.521,0.007,2.656,0.013,2.865,0.007,2.896,0.007,2.417,0.007
0001_pika_2470897855_alpha_1.0.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.526,0.007,2.635,0.007,2.849,0.007,2.885,0.007,2.427,0.007
0001_pika_2470897855_sora_watermark.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.557,0.007,2.573,0.007,2.906,0.0,2.833,0.015,2.396,0.007
0001_ray2_1_alpha_0.3.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.745,0.007,2.911,0.007,2.745,0.007,2.953,0.0,2.818,0.007
0001_ray2_1_alpha_0.1.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.745,0.007,2.911,0.015,2.719,0.013,2.948,0.007,2.823,0.007
0001_ray2_1_alpha_0.2.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.74,0.007,2.906,0.013,2.74,0.007,2.948,0.007,2.812,0.0
0001_ray2_1_alpha_0.4.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.734,0.0,2.885,0.015,2.745,0.015,2.938,0.013,2.807,0.007
0001_ray2_1_alpha_0.5.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.729,0.007,2.896,0.007,2.75,0.0,2.943,0.007,2.812,0.013
0001_ray2_1_alpha_0.6.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.724,0.007,2.885,0.007,2.75,0.013,2.938,0.0,2.797,0.0
0001_ray2_1_alpha_0.7.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.708,0.015,2.854,0.029,2.781,0.013,2.932,0.007,2.786,0.015
0001_ray2_1_alpha_0.8.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.693,0.007,2.849,0.037,2.745,0.027,2.911,0.007,2.781,0.022
0001_sora_0_alpha_0.1.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",3.156,0.135,3.104,0.124,3.521,0.114,3.464,0.078,3.031,0.126
0001_ray2_1_alpha_0.9.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.698,0.019,2.844,0.013,2.766,0.013,2.927,0.007,2.766,0.013
0001_ray2_1_sora_watermark.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.698,0.007,2.74,0.007,2.88,0.007,2.875,0.0,2.74,0.007
0001_ray2_1_alpha_1.0.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",2.688,0.013,2.818,0.027,2.781,0.013,2.922,0.013,2.771,0.019
0001_sora_0_alpha_0.2.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",3.323,0.179,3.276,0.211,3.693,0.128,3.599,0.121,3.234,0.205
0001_sora_0_alpha_0.3.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",3.469,0.11,3.453,0.133,3.828,0.068,3.651,0.07,3.391,0.122
0001_sora_0_alpha_0.4.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",3.547,0.089,3.516,0.084,3.865,0.058,3.703,0.044,3.49,0.096
0001_sora_0_alpha_0.5.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",3.573,0.045,3.542,0.045,3.891,0.022,3.714,0.032,3.505,0.039
0001_sora_0_alpha_0.6.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",3.562,0.056,3.557,0.06,3.865,0.041,3.724,0.041,3.51,0.06
0001_sora_0_alpha_0.7.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",3.651,0.041,3.62,0.041,3.927,0.027,3.734,0.026,3.604,0.041
0001_sora_0_alpha_0.8.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",3.557,0.075,3.542,0.085,3.875,0.044,3.708,0.048,3.51,0.085
0001_sora_0_alpha_0.9.mp4,"A futuristic operating room where surgeons use holographic interfaces to guide the transplantation of precise 3D-printed organs, assisted by robotic technology.",3.13,0.14,3.12,0.136,3.547,0.111,3.495,0.081,3.094,0.133
